time,id,latitude,longitude,counter
0,A020,-22.976509,-43.19902,0
36,A020,-22.976511,-43.1987,1
69,A020,-22.976538,-43.198166,2
70,A020,-22.976721,-43.197144,3
71,A020,-22.976843,-43.195766,4
34,A020,-22.976721,-43.195034,5
35,A020,-22.976391,-43.194595,6
105,A020,-22.977747,-43.191647,7
53,A020,-22.977869,-43.190887,8
44,A020,-22.978012,-43.190247,9
35,A020,-22.977434,-43.188503,10
105,A020,-22.975824,-43.187611,11
70,A020,-22.97344,-43.186012,12
37,A020,-22.970638,-43.183056,13
129,A020,-22.96471,-43.172337,14
