time,id,latitude,longitude,counter
0,A020,-22.976509,-43.19902,0
0,A412260,-22.961214,-43.212467,0
0,A414440,-22.898205,-43.180534,0
0,A480500,-22.91304,-43.210178,0
0,A481690,-22.925152,-43.20282,0
0,A481830,-22.924868,-43.233307,0
0,A500080,-22.917091,-43.210556,0
0,B115740,-22.9045,-43.1882,0
0,B115810,-22.8383,-43.3626,0
0,B116320,-22.8742,-43.337,0
0,B116510,-22.8754,-43.3395,0
0,B255200,-22.9063,-43.1944,0
0,B310250,-22.933,-43.1805,0
0,B516470,-22.8844,-43.2911,0
0,B710920,-22.9145,-43.2076,0
0,B71103,-22.9083,-43.2741,0
0,C210430,-22.993176,-43.25565,0
0,C300580,-22.918566,-43.360809,0
0,C30150,-22.951729,-43.348053,0
0,C302220,-22.985523,-43.201283,0
31,C300580,-22.918144,-43.36097,1
1,A481690,-22.925076,-43.199665,1
3,A481830,-22.925711,-43.23473,1
0,B116510,-22.8755,-43.3392,1
1,A020,-22.976511,-43.1987,1
0,A480500,-22.913336,-43.210255,1
2,B115810,-22.8382,-43.3625,1
8,A500080,-22.916946,-43.2104,1
14,B255200,-22.9058,-43.1927,1
0,B516470,-22.8861,-43.2891,1
0,B710920,-22.9162,-43.2123,1
0,B71103,-22.9062,-43.2707,1
0,C30150,-22.951729,-43.348053,1
1,C302220,-22.985388,-43.204227,1
8,A412260,-22.962297,-43.215691,1
1,A414440,-22.895195,-43.184032,1
0,B116320,-22.8726,-43.3389,1
0,B310250,-22.9327,-43.1788,1
0,C210430,-22.995312,-43.258869,1
1,B115740,-22.9043,-43.1876,1
19,B255200,-22.9053,-43.1915,2
1,B116320,-22.8726,-43.339,2
13,A412260,-22.963297,-43.216633,2
0,B310250,-22.9308,-43.1776,2
1,A020,-22.976538,-43.198166,2
0,A414440,-22.894947,-43.186314,2
0,A481830,-22.927731,-43.23608,2
0,C210430,-22.99633,-43.260757,2
1,A480500,-22.914103,-43.210243,2
0,B115740,-22.9042,-43.1875,2
7,B116510,-22.8756,-43.339,2
4,A500080,-22.915459,-43.207859,2
3,B516470,-22.8874,-43.2866,2
0,B710920,-22.9176,-43.2157,2
0,B71103,-22.9052,-43.2692,2
0,C30150,-22.951729,-43.348053,2
