time,id,latitude,longitude,counter
0,A020,-22.976509,-43.19902,0
0,A412260,-22.961214,-43.212467,0
0,A414440,-22.898205,-43.180534,0
0,A480500,-22.91304,-43.210178,0
0,A481690,-22.925152,-43.20282,0
32,A481690,-22.925076,-43.199665,1
4,A020,-22.976511,-43.1987,1
0,A480500,-22.913336,-43.210255,1
33,A412260,-22.962297,-43.215691,1
1,A414440,-22.895195,-43.184032,1
34,A412260,-22.963297,-43.216633,2
1,A020,-22.976538,-43.198166,2
0,A414440,-22.894947,-43.186314,2
1,A480500,-22.914103,-43.210243,2
19,A481690,-22.923294,-43.197765,2
49,A412260,-22.964344,-43.217628,3
1,A020,-22.976721,-43.197144,3
0,A414440,-22.895576,-43.186653,3
1,A480500,-22.914719,-43.210236,3
7,A481690,-22.921667,-43.197098,3
58,A481690,-22.917509,-43.194233,4
3,A412260,-22.965813,-43.218994,4
1,A414440,-22.895891,-43.186802,4
1,A020,-22.976843,-43.195766,4
0,A480500,-22.915846,-43.211521,4
34,A020,-22.976721,-43.195034,5
0,A414440,-22.895947,-43.186783,5
10,A480500,-22.916122,-43.211952,5
7,A481690,-22.91651,-43.194397,5
17,A412260,-22.971489,-43.223667,5
1,A020,-22.976391,-43.194595,6
34,A412260,-22.972937,-43.225082,6
1,A414440,-22.8967,-43.187092,6
10,A480500,-22.918089,-43.216457,6
2,A481690,-22.916466,-43.195332,6
22,A412260,-22.973772,-43.225994,7
12,A480500,-22.918591,-43.218132,7
23,A481690,-22.912983,-43.195568,7
1,A020,-22.977747,-43.191647,7
0,A414440,-22.897074,-43.18729,7
34,A481690,-22.911749,-43.195305,8
11,A480500,-22.919874,-43.220871,8
8,A020,-22.977869,-43.190887,8
16,A412260,-22.974764,-43.226643,8
1,A414440,-22.899637,-43.187485,8
27,A020,-22.978012,-43.190247,9
7,A412260,-22.975399,-43.227554,9
0,A481690,-22.909586,-43.196411,9
1,A414440,-22.90033,-43.186832,9
10,A480500,-22.920799,-43.224091,9
17,A020,-22.977434,-43.188503,10
8,A414440,-22.900354,-43.186768,10
34,A412260,-22.976189,-43.228809,10
0,A481690,-22.90893,-43.196522,10
5,A480500,-22.921675,-43.228401,10
35,A480500,-22.922405,-43.230019,11
20,A481690,-22.908091,-43.196106,11
3,A020,-22.975824,-43.187611,11
7,A412260,-22.976641,-43.229752,11
1,A414440,-22.900961,-43.186115,11
4,A480500,-22.922401,-43.230183,12
30,A412260,-22.976645,-43.229786,12
1,A414440,-22.901001,-43.186134,12
3,A481690,-22.907904,-43.195618,12
24,A020,-22.97344,-43.186012,12
7,A412260,-22.977827,-43.23304,13
30,A020,-22.970638,-43.183056,13
6,A414440,-22.901363,-43.185677,13
3,A481690,-22.907438,-43.194183,13
12,A480500,-22.926592,-43.235401,13
19,A412260,-22.981384,-43.236279,14
1,A414440,-22.901497,-43.185432,14
75,A480500,-22.929564,-43.237213,14
9,A481690,-22.905861,-43.192944,14
4,A020,-22.96471,-43.172337,14
