time,id,latitude,longitude,counter
0,A020,-22.976509,-43.19902,0
0,A412260,-22.961214,-43.212467,0
0,A414440,-22.898205,-43.180534,0
0,A480500,-22.91304,-43.210178,0
0,A481690,-22.925152,-43.20282,0
0,A481830,-22.924868,-43.233307,0
0,A500080,-22.917091,-43.210556,0
0,B115740,-22.9045,-43.1882,0
0,B115810,-22.8383,-43.3626,0
0,B116320,-22.8742,-43.337,0
32,A481690,-22.925076,-43.199665,1
3,A481830,-22.925711,-43.23473,1
1,A020,-22.976511,-43.1987,1
0,A480500,-22.913336,-43.210255,1
2,B115810,-22.8382,-43.3625,1
8,A500080,-22.916946,-43.2104,1
23,A412260,-22.962297,-43.215691,1
1,A414440,-22.895195,-43.184032,1
0,B116320,-22.8726,-43.3389,1
1,B115740,-22.9043,-43.1876,1
20,B116320,-22.8726,-43.339,2
13,A412260,-22.963297,-43.216633,2
1,A020,-22.976538,-43.198166,2
0,A414440,-22.894947,-43.186314,2
0,A481830,-22.927731,-43.23608,2
1,A480500,-22.914103,-43.210243,2
0,B115740,-22.9042,-43.1875,2
11,A500080,-22.915459,-43.207859,2
8,A481690,-22.923294,-43.197765,2
39,B115810,-22.8443,-43.3619,2
10,A412260,-22.964344,-43.217628,3
1,A020,-22.976721,-43.197144,3
0,A414440,-22.895576,-43.186653,3
1,A480500,-22.914719,-43.210236,3
0,A481830,-22.929834,-43.237476,3
0,B115740,-22.9041,-43.1871,3
0,B116320,-22.8718,-43.3405,3
7,A481690,-22.921667,-43.197098,3
4,A500080,-22.914576,-43.206264,3
47,B115810,-22.8489,-43.3577,3
7,A481690,-22.917509,-43.194233,4
0,A500080,-22.914419,-43.205608,4
3,A412260,-22.965813,-43.218994,4
1,A414440,-22.895891,-43.186802,4
1,A020,-22.976843,-43.195766,4
0,A480500,-22.915846,-43.211521,4
0,A481830,-22.926979,-43.240086,4
0,B115740,-22.904,-43.1868,4
0,B116320,-22.8712,-43.342,4
34,A020,-22.976721,-43.195034,5
0,A414440,-22.895947,-43.186783,5
1,A481830,-22.924555,-43.240509,5
0,B115740,-22.904,-43.1867,5
0,B116320,-22.8734,-43.3428,5
9,A480500,-22.916122,-43.211952,5
1,A500080,-22.913221,-43.203163,5
